Tree Type, number of samples, sample size, insert rate, query rate
CloudTrie,1000,4,3.0382485104986676,6.600965061091932
EC2Trie,1000,4,40.80466805402538,45.11413877109086
CloudTrie,1000,8,2.4107655144814686,3.4412391213828273
EC2Trie,1000,8,39.134348217430436,35.97510522718279
CloudTrie,1000,16,1.316818671435306,1.6415455479643193
EC2Trie,1000,16,40.51863857374392,44.64485021652752
